source,time,person,location,organization,miscellaneous
americablog,2011-09-01T00:00:00,matt taibbi|flexner|tom miller|schiller|taibbi|al gore|sachs|boies|goldman|robert silver|matt â€™s|david boies|morgan chase|donald flexner|eric schneiderman|miller|schneiderman,iowa|state politics|new york,national institute of money|washington post|attorney general|raise campaign money|isn â€™|bank of america,australian
americablog,2011-10-01T00:00:00,george w. bush|gore vidal|matt stoller|jonathan turley|candidate obama|truman â€ù|anwar al-awlaki|turley,nuremberg,tea party|democratic party|Â |progressive party,world war ii|truman-created
americablog,2011-11-01T00:00:00,paul krugman,europe|france|italy,and â€_ next|nyt|â€œ eurodÃ_mmerung â€ù,italian
americablog,2011-12-01T00:00:00,bachmann|michelle bachmann,tehran|iowa|iran|waverly,iranian hostage crisis|tea party|u.k.|foreign ministry,british
americablog,2011-12-01T00:00:00,â€ù mom,england|uk|canada|california|christmas|colorado|united kingdom,military veteran|defense of marriage act,british|californian
americablog,2012-01-01T00:00:00,john paulson|matt taibbi|via alternet|darcy burner|daddy warbucks|taibbi|don â€™|ilya sheyman|rolling stone|stevie cohen,wall street,too big|systemically dangerous institutions|high frequency trading|happy new year|new year|gramm-leach-bliley act|tabloid saint|fail|tabloid demon|occupy movement|occupy|new year â€™s resolutions,â€œ yes
americablog,2012-01-01T00:00:00,mitt romney|don â€™,iowa,dream act|le mars|gop,latino
americablog,2012-01-01T00:00:00,reliable sources|eve|howie kurtz,ork|panama|iowa|greece|chicago,cnn,mork
americablog,2012-02-01T00:00:00,mcchrystal|michael hastings|stanley mcchrystal|nate silver|stan|pacific time|silver|joe biden|big stan|hastings|rolling stone,europe|afghanistan|majority,gen. patraeus â€”|majority report|truman & macarthur|terrifying inside story of america â€™s war|the wild,general social survey
americablog,2012-03-01T00:00:00,walter dalton|gay|michelle obama|tom jensen|kathleen sebelius|michael munger|kay hagan,charlotte|north carolina,myers park baptist|naacp|nc|carolina review|libertarian party of north carolina|new ground|protect all nc families,ballot|amendment one
americablog,2012-04-01T00:00:00,knockout roses|charlie brown christmasy|jack prager|chris,chicago,home depot,japanese
